day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-12-09,-1.408892026938329,1.0,1.4663670181491109,1.0,1.0
2025-12-15,0.3527724135775751,1.476555623239199,-0.016721667594958634,1.239638882926931,2.0
2025-12-16,-0.2549237573902718,1.0760941429008002,0.6044749225572693,0.39551478653400074,3.0
2025-12-17,-0.15564147277399126,1.0,0.4479756285725167,1.0,1.0
2025-12-18,1.0899487385082758,1.0,0.6466092432577347,1.0,1.0
2025-12-19,-0.21533129638842446,1.0,-0.7304895595862231,1.0,1.0
2025-12-20,-0.9422981833851516,1.0,0.8245737516529567,1.0,1.0
2025-12-23,1.129120828711917,0.5335872411026367,0.10958532745749983,0.4080791388487865,3.0
2025-12-24,-0.022954489439165622,0.16532839769381769,0.03809674112682879,0.7357175881288802,2.0
2025-12-26,-0.19827325622494793,0.13269397816134046,-0.4410341631112241,1.223971584749008,2.0
2025-12-29,-0.04871969893207461,1.0,-0.7217556579071007,1.0,1.0
2026-01-01,0.06727618315404743,1.0,-0.4288212362501125,1.0,1.0
2026-01-02,-0.668867665274968,1.0,0.7131070767454273,1.0,1.0
2026-01-03,-1.0420262081885505,1.0,0.24382441347937578,1.0,1.0
2026-01-04,1.8361399698521648,1.0,0.7172345284791454,1.0,1.0
2026-01-05,-0.5707272109996953,0.40538723684554895,-0.3671822572147107,1.0596612037096402,4.0
2026-01-06,0.5881808975180126,0.7863578133696163,-1.2058331336955213,0.3661381405671712,3.0
2026-01-07,-0.7460031799883955,0.6666446131661314,0.34590802238017476,1.227683080845547,5.0
2026-01-08,1.297504685831936,1.672198731871853,0.7400686839423144,0.8032577005853292,3.0
2026-01-09,-0.2581949772079312,0.2934934483182309,-0.2635142208931078,1.642993069071827,3.0
2026-01-11,-0.024492710901428894,1.0,-1.5604309199113546,1.0,1.0
2026-01-12,-1.2185371209832554,1.806103976122266,0.8610074305370179,2.1937760809661153,2.0
2026-01-15,0.05366283534550091,0.8848758878559333,-0.23007766892637496,0.6725650008167124,5.0
2026-01-16,0.8799815089093457,1.0,-1.707566930789294,1.0,1.0
2026-01-17,0.1125628213862242,0.4131034568691577,0.3344707058952494,0.05796562815560898,2.0
2026-01-20,0.7168852161040458,1.0,-0.10258848166909577,1.0,1.0
2026-01-23,0.3333333333333333,1.0,1.0,1.0,1.0
